Path,April,May,June,Total,Pct Of Total
MEMBERSHIP RECORDS,271,557,654,1482,27.9
LEGAL SPEC,217,329,331,877,16.5
ETHICS ATTY,89,147,136,372,7.0
ACCOUNTING,68,119,148,335,6.3
FEE SEASON,16,90,136,242,4.6
SWITCHBOARD,50,75,70,195,3.7
DD LEGAL,45,53,48,146,2.8
SWITCHBOARD -> MEMBERSHIP RECORDS,31,48,50,129,2.4
MEMBERSHIP RECORDS -> LEGAL SPEC,25,42,45,112,2.1
PRACTICE RESOURCE CENTER,30,20,52,102,1.9
DD LEGAL -> ACAP PAs,24,30,32,86,1.6
FEE SEASON -> ACCOUNTING,22,34,16,72,1.4
DD LEGAL -> MEMBERSHIP RECORDS,11,16,21,48,0.9
ACCOUNTING -> LEGAL SPEC,10,20,17,47,0.9
LEGAL SPEC -> ACCOUNTING,14,18,12,44,0.8
SWITCHBOARD -> ACCOUNTING,4,11,29,44,0.8
SWITCHBOARD -> LEGAL SPEC,13,17,11,41,0.8
LEGAL SPEC -> MEMBERSHIP RECORDS,12,9,16,37,0.7
ACCOUNTING -> MEMBERSHIP RECORDS,6,10,20,36,0.7
WEBSITE,0,13,15,28,0.5
